2024-06-12 01:24:40 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'dorm.descriptiontable' doesn't exist | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Maintenance.php | Line: 28
2024-06-12 01:25:25 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'd.description' in 'field list' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Maintenance.php | Line: 28
2024-06-16 21:35:20 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'buildingNumber' in 'field list' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 52
2024-07-11 23:14:20 Error: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 95
2024-07-11 23:18:16 Error: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 95
2024-07-11 23:18:25 Error: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 95
2024-07-11 23:20:06 Error: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 95
2024-07-11 23:20:22 Error: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 95
2024-07-14 13:54:59 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'r.apartment_id' in 'on clause' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 100
2024-07-14 15:02:10 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'max_apartment_capacity' in 'field list' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 130
2024-07-14 15:02:24 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'max_apartment_capacity' in 'field list' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 130
2024-07-14 15:03:59 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'building_id' in 'where clause' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 130
2024-07-14 15:05:46 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'building_id' in 'where clause' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 130
2024-07-14 15:06:13 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'buildingNumber' in 'field list' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 130
2024-07-14 15:06:59 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'apartmentNumber' in 'field list' | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 130
2024-07-14 15:57:37 Error: SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 184
2024-07-14 16:28:38 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'dorm.reservstions' doesn't exist | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 194
2024-07-14 16:29:20 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'dorm.reservstions' doesn't exist | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 186
2024-07-14 16:29:59 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'dorm.reservstions' doesn't exist | File: C:\xampp\htdocs\project\nmu-dorm-app\app\models\Dorm.php | Line: 186
2024-07-20 11:15:55 Error: 66 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 216
2024-07-20 11:17:19 Error: 66 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 216
2024-07-20 11:19:22 Error: 3 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 217
2024-07-20 11:22:15 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 217
2024-07-20 11:22:22 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 217
2024-07-20 11:23:00 Error: 3 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 217
2024-07-20 11:23:59 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 217
2024-07-22 22:04:22 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'nmudorm.users' doesn't exist | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 107
2024-07-22 23:05:34 Error: 1 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 217
2024-07-22 23:05:45 Error: 1 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 217
2024-07-22 23:06:21 Error: 1 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Dorm.php | Line: 217
2024-07-23 15:03:56 Error: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM
                residents AS r
            INNER JOIN
               ...' at line 10 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 286
2024-07-23 15:04:10 Error: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM
                residents AS r
            INNER JOIN
               ...' at line 10 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 286
2024-07-23 17:12:11 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'p.email' in 'field list' | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 267
2024-07-23 17:12:12 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'p.email' in 'field list' | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 267
2024-07-23 17:18:24 Error:  | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:19:18 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:19:46 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:20:40 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:20:49 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:24:23 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:24:30 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:26:18 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:27:15 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:27:34 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:27:41 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:29:11 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:30:16 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 17:31:09 Error: 2 | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Member.php | Line: 259
2024-07-23 19:02:17 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'nmudorm.members' doesn't exist | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Maintenance.php | Line: 49
2024-07-23 19:02:20 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'nmudorm.members' doesn't exist | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Maintenance.php | Line: 49
2024-07-23 19:02:21 Error: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'nmudorm.members' doesn't exist | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Maintenance.php | Line: 49
2024-07-23 23:11:55 Error: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'criteriaType' cannot be null | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Reservation.php | Line: 55
2024-07-25 00:03:37 Error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'occupiedStatus' in 'where clause' | File: C:\xampp\htdocs\nmu-dorm-app\app\models\Reservation.php | Line: 141
